[2026-09-24 12:27:06]	Unhandled rejection error value: Timeout 5000ms exceeded for waitUntilValue on .
[2026-09-24 12:29:46]	JS Error: fs://game/base-standard/ui/unit-flags/unit-flags-independent-powers.js:463: TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:29:46]	JS Error (Line):     const unitDefinition = GameInfo.Units.lookup(this.unit.type);
[2026-09-24 12:29:46]	JS Error (Stack): TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:31:03]	HTML Parser Error@:fs://game/root-game.html@1:25: Premature end of file  Currently open tags: html, div..
[2026-09-24 12:31:16]	JS Error: fs://game/base-standard/ui/unit-flags/unit-flags-independent-powers.js:463: TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:31:16]	JS Error (Line):     const unitDefinition = GameInfo.Units.lookup(this.unit.type);
[2026-09-24 12:31:16]	JS Error (Stack): TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:31:39]	JS Error: fs://game/base-standard/ui/unit-flags/unit-flags-independent-powers.js:463: TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:31:39]	JS Error (Line):     const unitDefinition = GameInfo.Units.lookup(this.unit.type);
[2026-09-24 12:31:39]	JS Error (Stack): TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:31:39]	JS Error: fs://game/base-standard/ui/unit-flags/unit-flags-independent-powers.js:463: TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:31:39]	JS Error (Line):     const unitDefinition = GameInfo.Units.lookup(this.unit.type);
[2026-09-24 12:31:39]	JS Error (Stack): TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:31:43]	JS Error: fs://game/base-standard/ui/unit-flags/unit-flags-independent-powers.js:463: TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:31:43]	JS Error (Line):     const unitDefinition = GameInfo.Units.lookup(this.unit.type);
[2026-09-24 12:31:43]	JS Error (Stack): TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:32:14]	JS Error: fs://game/base-standard/ui/unit-flags/unit-flags-independent-powers.js:463: TypeError: Cannot read properties of null (reading 'type')
[2026-09-24 12:32:14]	JS Error (Line):     const unitDefinition = GameInfo.Units.lookup(this.unit.type);
[2026-09-24 12:32:14]	JS Error (Stack): TypeError: Cannot read properties of null (reading 'type')
